"N","perturbation_type","seed","runtime","global_significant","TP","FP","FN","TN","residual_p","success","error","recall","precision","power","no_residual"
10,"lambda_half",1001,1.1921398639679,TRUE,17,2,0,28,1,TRUE,"",1,0.894736842105263,TRUE,TRUE
10,"lambda_half",2002,0.92693305015564,TRUE,17,1,0,28,1,TRUE,"",1,0.944444444444444,TRUE,TRUE
10,"lambda_half",3003,0.611397981643677,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",4004,1.18801403045654,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",5005,0.937492847442627,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",6006,1.18334603309631,TRUE,16,0,1,28,1,TRUE,"",0.941176470588235,1,TRUE,TRUE
10,"lambda_half",7007,0.917870998382568,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",8008,1.21656513214111,TRUE,17,1,0,28,1,TRUE,"",1,0.944444444444444,TRUE,TRUE
10,"lambda_half",9009,0.894631862640381,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",10010,1.2618510723114,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",11001,0.897339105606079,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",12002,1.20849084854126,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",13003,0.933861970901489,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",14004,1.19981503486633,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",15005,0.948376893997192,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",16006,1.1906840801239,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",17007,0.902629137039185,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",18008,1.15384697914124,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",19009,0.914355993270874,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",20010,1.17599105834961,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
100,"lambda_half",21001,46.3941168785095,TRUE,261,0,33,4656,1,TRUE,"",0.887755102040816,1,TRUE,TRUE
100,"lambda_half",22002,47.8100678920746,TRUE,259,0,35,4656,0,TRUE,"",0.880952380952381,1,TRUE,FALSE
100,"lambda_half",23003,39.3023850917816,TRUE,265,0,29,4656,1,TRUE,"",0.901360544217687,1,TRUE,TRUE
100,"lambda_half",24004,47.515291929245,TRUE,261,0,33,4656,1,TRUE,"",0.887755102040816,1,TRUE,TRUE
100,"lambda_half",25005,40.5210990905762,TRUE,264,0,30,4656,1,TRUE,"",0.897959183673469,1,TRUE,TRUE
100,"lambda_half",26006,47.5133600234985,TRUE,262,0,32,4656,0,TRUE,"",0.891156462585034,1,TRUE,FALSE
100,"lambda_half",27007,39.5067348480225,TRUE,260,0,34,4656,0,TRUE,"",0.884353741496599,1,TRUE,FALSE
100,"lambda_half",28008,47.3250689506531,TRUE,264,0,30,4656,1,TRUE,"",0.897959183673469,1,TRUE,TRUE
100,"lambda_half",29009,39.7970948219299,TRUE,262,0,32,4656,1,TRUE,"",0.891156462585034,1,TRUE,TRUE
100,"lambda_half",30010,47.8251640796661,TRUE,256,0,38,4656,1,TRUE,"",0.870748299319728,1,TRUE,TRUE
100,"const_high",31001,40.7496778964996,TRUE,270,0,24,4656,1,TRUE,"",0.918367346938776,1,TRUE,TRUE
100,"const_high",32002,47.7267870903015,TRUE,268,0,26,4656,1,TRUE,"",0.91156462585034,1,TRUE,TRUE
100,"const_high",33003,40.7693698406219,TRUE,269,0,25,4656,1,TRUE,"",0.914965986394558,1,TRUE,TRUE
100,"const_high",34004,47.9213800430298,TRUE,265,0,29,4656,0,TRUE,"",0.901360544217687,1,TRUE,FALSE
100,"const_high",35005,39.6006739139557,TRUE,268,0,26,4656,0,TRUE,"",0.91156462585034,1,TRUE,FALSE
100,"const_high",36006,47.6116940975189,TRUE,265,0,29,4656,1,TRUE,"",0.901360544217687,1,TRUE,TRUE
100,"const_high",37007,40.7443521022797,TRUE,269,0,25,4656,1,TRUE,"",0.914965986394558,1,TRUE,TRUE
100,"const_high",38008,47.4248728752136,TRUE,267,0,27,4656,1,TRUE,"",0.908163265306122,1,TRUE,TRUE
100,"const_high",39009,40.0323069095612,TRUE,269,0,25,4656,0,TRUE,"",0.914965986394558,1,TRUE,FALSE
100,"const_high",40010,9.56222200393677,TRUE,267,0,27,4656,1,TRUE,"",0.908163265306122,1,TRUE,TRUE
