"N","overall_pass","power","power_pass","recall_median","recall_pass","fdr_median","fdr_pass","mcc_median","no_residual_rate","residual_pass","runtime_95th","runtime_limit","runtime_pass","experiment_timestamp","master_seed","test_type","overall_experiment_pass"
10,FALSE,0.05,FALSE,0,FALSE,1,FALSE,0,0.05,FALSE,0.321001935005188,5,TRUE,"20250601_232458",42,"quick",FALSE
100,FALSE,0,FALSE,0,FALSE,1,FALSE,0,0,FALSE,4.26097110509872,30,TRUE,"20250601_232458",42,"quick",FALSE
