"N","perturbation_type","overall_pass","power","power_pass","recall","recall_pass","precision","precision_pass","no_residual_rate","residual_pass","runtime_95th","runtime_limit","runtime_pass","experiment_timestamp","master_seed","test_type","overall_experiment_pass"
10,"const_high",TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1.20458673238754,3,TRUE,"20250604_123750",42,"quick",FALSE
10,"lambda_half",TRUE,1,TRUE,0.994117647058824,TRUE,0.978362573099415,TRUE,1,TRUE,1.24147239923477,3,TRUE,"20250604_123750",42,"quick",FALSE
100,"const_high",FALSE,1,TRUE,0.910544217687075,TRUE,1,TRUE,0.7,FALSE,47.8338132143021,25,FALSE,"20250604_123750",42,"quick",FALSE
100,"lambda_half",FALSE,1,TRUE,0.889115646258503,FALSE,1,TRUE,0.7,FALSE,47.8183707952499,25,FALSE,"20250604_123750",42,"quick",FALSE
