"N","perturbation_type","n_experiments","success_rate","power","recall","precision","no_residual_rate","median_runtime","q95_runtime"
10,"const_high",10,1,1,1,0.988888888888889,1,0.422738552093506,0.475260674953461
10,"lambda_half",10,1,1,0.976470588235294,1,1,0.423732995986938,0.488718903064728
100,"const_high",10,1,1,0.911904761904762,1,0.9,12.875342965126,13.1351005673408
100,"lambda_half",10,1,1,0.893877551020408,1,0.9,12.7206754684448,13.5330987334251
