"N","perturbation_type","n_experiments","success_rate","power","recall","precision","no_residual_rate","median_runtime","q95_runtime"
10,"const_high",10,1,1,1,1,1,1.05111193656921,1.20458673238754
10,"lambda_half",10,1,1,0.994117647058824,0.978362573099415,1,1.06041944026947,1.24147239923477
100,"const_high",10,1,1,0.910544217687075,1,0.7,40.7595238685608,47.8338132143021
100,"lambda_half",10,1,1,0.889115646258503,1,0.7,46.8595929145813,47.8183707952499
