"replicate","n_permutations","global_p_value","global_reject","n_selected","elapsed_seconds"
29,199,0.005,TRUE,0,0.0120000000000005
29,999,0.001,TRUE,0,0.0150000000000148
29,4999,2e-04,TRUE,0,0.0270000000000152
30,99,0.01,TRUE,2,0.0130000000000052
30,199,0.005,TRUE,2,0.0130000000000052
30,999,0.001,TRUE,2,0.0180000000000007
30,4999,2e-04,TRUE,2,0.025999999999982
31,99,0.02,TRUE,0,0.0109999999999957
31,199,0.015,TRUE,0,0.0109999999999957
31,999,0.01,TRUE,0,0.01400000000001
31,4999,0.0086,TRUE,0,0.0260000000000105
32,99,0.01,TRUE,1,0.011999999999972
32,199,0.005,TRUE,1,0.0120000000000005
32,999,0.001,TRUE,1,0.0149999999999864
32,4999,2e-04,TRUE,1,0.0269999999999868
33,99,0.01,TRUE,3,0.0130000000000052
33,199,0.005,TRUE,3,0.0130000000000052
33,999,0.001,TRUE,3,0.0160000000000196
33,4999,2e-04,TRUE,3,0.0279999999999916
34,99,0.01,TRUE,0,0.0120000000000005
34,199,0.005,TRUE,0,0.0130000000000052
34,999,0.001,TRUE,0,0.0159999999999911
34,4999,2e-04,TRUE,0,0.0269999999999868
35,99,0.01,TRUE,1,0.0120000000000005
35,199,0.005,TRUE,1,0.0120000000000005
35,999,0.001,TRUE,1,0.0139999999999816
35,4999,2e-04,TRUE,1,0.025999999999982
36,99,0.01,TRUE,1,0.0120000000000005
36,199,0.005,TRUE,1,0.0129999999999768
36,999,0.001,TRUE,1,0.01400000000001
36,4999,2e-04,TRUE,1,0.0270000000000152
37,99,0.01,TRUE,3,0.0120000000000005
37,199,0.005,TRUE,3,0.0120000000000005
37,999,0.001,TRUE,3,0.01400000000001
37,4999,2e-04,TRUE,3,0.0260000000000105
38,99,0.01,TRUE,1,0.0120000000000005
38,199,0.015,TRUE,1,0.0120000000000005
38,999,0.004,TRUE,1,0.01400000000001
38,4999,0.0038,TRUE,1,0.0260000000000105
39,99,0.01,TRUE,1,0.0110000000000241
39,199,0.005,TRUE,1,0.0120000000000005
39,999,0.001,TRUE,1,0.0139999999999816
39,4999,2e-04,TRUE,1,0.0260000000000105
40,99,0.01,TRUE,1,0.0120000000000005
40,199,0.005,TRUE,1,0.0120000000000005
40,999,0.001,TRUE,1,0.01400000000001
40,4999,2e-04,TRUE,1,0.0260000000000105
41,99,0.01,TRUE,0,0.0120000000000005
41,199,0.005,TRUE,0,0.0109999999999957
41,999,0.001,TRUE,0,0.0150000000000148
41,4999,2e-04,TRUE,0,0.02800000000002
42,99,0.01,TRUE,1,0.0120000000000005
42,199,0.005,TRUE,1,0.0130000000000052
42,999,0.001,TRUE,1,0.0149999999999864
42,4999,4e-04,TRUE,1,0.0589999999999975
43,99,0.01,TRUE,2,0.011999999999972
43,199,0.005,TRUE,2,0.0120000000000005
43,999,0.001,TRUE,2,0.0130000000000052
43,4999,2e-04,TRUE,2,0.025999999999982
44,99,0.01,TRUE,1,0.0109999999999957
44,199,0.005,TRUE,1,0.0109999999999957
44,999,0.001,TRUE,1,0.01400000000001
44,4999,2e-04,TRUE,1,0.0250000000000057
45,99,0.01,TRUE,1,0.0120000000000005
45,199,0.005,TRUE,1,0.0120000000000005
45,999,0.001,TRUE,1,0.0139999999999816
45,4999,2e-04,TRUE,1,0.0260000000000105
46,99,0.01,TRUE,2,0.0120000000000005
46,199,0.005,TRUE,2,0.0120000000000005
46,999,0.001,TRUE,2,0.01400000000001
46,4999,2e-04,TRUE,2,0.0260000000000105
47,99,0.01,TRUE,3,0.0120000000000005
47,199,0.005,TRUE,3,0.0109999999999957
47,999,0.001,TRUE,3,0.0149999999999864
47,4999,2e-04,TRUE,3,0.0260000000000105
48,99,0.01,TRUE,2,0.0120000000000005
48,199,0.005,TRUE,2,0.0120000000000005
48,999,0.001,TRUE,2,0.01400000000001
48,4999,2e-04,TRUE,2,0.0270000000000152
49,99,0.01,TRUE,2,0.0110000000000241
49,199,0.005,TRUE,2,0.0120000000000005
49,999,0.001,TRUE,2,0.0149999999999864
49,4999,2e-04,TRUE,2,0.025999999999982
50,99,0.01,TRUE,1,0.0120000000000005
50,199,0.005,TRUE,1,0.0120000000000005
50,999,0.001,TRUE,1,0.0150000000000148
50,4999,2e-04,TRUE,1,0.0270000000000152
51,99,0.01,TRUE,0,0.0130000000000052
51,199,0.005,TRUE,0,0.0120000000000005
51,999,0.001,TRUE,0,0.0149999999999864
51,4999,4e-04,TRUE,0,0.0260000000000105
52,99,0.01,TRUE,3,0.0109999999999957
52,199,0.005,TRUE,3,0.0109999999999957
52,999,0.001,TRUE,3,0.01400000000001
52,4999,2e-04,TRUE,3,0.025999999999982
53,99,0.01,TRUE,0,0.0120000000000005
53,199,0.005,TRUE,0,0.0120000000000005
53,999,0.001,TRUE,0,0.0139999999999816
53,4999,6e-04,TRUE,0,0.0260000000000105
54,99,0.01,TRUE,1,0.0109999999999957
