"scenario","holm_fwer_upper_95","by_fdr_upper_95"
"latent_dependent",0.0166569925223651,0.00692522941723993
"localized_positive",0.0141416409196316,0.00387745137335523
"scattered_mixed",0.0102353315067209,0.00264173293252331
"three_group",0.0178957401301456,0.00490111066286191
